OID_,Entity_ID,Plant_Name,Nameplate_Capacity__MW_,Technology,Operating_Year,Retirement_Year,County_GEOID,County Name,State,State code
1,803,Cholla,414,Conventional Steam Coal,1981,2020,4017,Navajo,Arizona,AZ
2,17828,Dallman,90.2,Conventional Steam Coal,1968,2020,17167,Sangamon,Illinois,IL
3,17828,Dallman,90.2,Conventional Steam Coal,1972,2020,17167,Sangamon,Illinois,IL
4,56155,Eckert Station,80,Conventional Steam Coal,1968,2020,26065,Ingham,Michigan,MI
5,56155,Eckert Station,80,Conventional Steam Coal,1970,2020,26065,Ingham,Michigan,MI
6,19099,Transalta Centralia Generation,729.9,Conventional Steam Coal,1972,2020,53041,Lewis,Washington,WA
7,6452,Indiantown Cogeneration LP,395.4,Conventional Steam Coal,1995,2020,12085,Martin,Florida,FL
8,30151,Escalante,257,Conventional Steam Coal,1984,2020,35031,McKinley,New Mexico,NM
9,189,Lowman Energy Center,66,Conventional Steam Coal,1969,2020,1129,Washington,Alabama,AL
10,189,Lowman Energy Center,236,Conventional Steam Coal,1978,2020,1129,Washington,Alabama,AL
11,189,Lowman Energy Center,236,Conventional Steam Coal,1980,2020,1129,Washington,Alabama,AL
12,15248,Boardman,642.2,Conventional Steam Coal,1980,2020,41049,Morrow,Oregon,OR
13,15474,Oklaunion,720,Conventional Steam Coal,1986,2020,48487,Wilbarger,Texas,TX
14,12653,Dickerson,196,Conventional Steam Coal,1960,2020,24031,Montgomery,Maryland,MD
15,12653,Dickerson,196,Conventional Steam Coal,1962,2020,24031,Montgomery,Maryland,MD
16,12653,Dickerson,196,Conventional Steam Coal,1959,2020,24031,Montgomery,Maryland,MD
17,60422,Herbert A Wagner,136,Conventional Steam Coal,1959,2020,24003,Anne Arundel,Maryland,MD
18,7483,J B Sims,80,Conventional Steam Coal,1983,2020,26139,Ottawa,Michigan,MI
19,58620,Conesville,841.5,Conventional Steam Coal,1973,2020,39031,Coshocton,Ohio,OH
20,14268,Elmer Smith,163.2,Conventional Steam Coal,1964,2020,21059,Daviess,Kentucky,KY
21,14268,Elmer Smith,282.1,Conventional Steam Coal,1974,2020,21059,Daviess,Kentucky,KY
22,6526,FirstEnergy W H Sammis,190.4,Conventional Steam Coal,1959,2020,39081,Jefferson,Ohio,OH
23,6526,FirstEnergy W H Sammis,190.4,Conventional Steam Coal,1960,2020,39081,Jefferson,Ohio,OH
24,6526,FirstEnergy W H Sammis,190.4,Conventional Steam Coal,1961,2020,39081,Jefferson,Ohio,OH
25,6526,FirstEnergy W H Sammis,190.4,Conventional Steam Coal,1962,2020,39081,Jefferson,Ohio,OH
26,5860,Asbury,212.8,Conventional Steam Coal,1970,2020,29097,Jasper,Missouri,MO
27,22129,Somerset Operating Co LLC,655.1,Conventional Steam Coal,1984,2020,36063,Niagara,New York,NY
28,20541,Wheelabrator Frackville Energy,48,Conventional Steam Coal,1988,2020,42107,Schuylkill,Pennsylvania,PA
29,18642,Paradise,1150.2,Conventional Steam Coal,1970,2020,21177,Muhlenberg,Kentucky,KY
30,3046,Asheville,206.6,Conventional Steam Coal,1964,2020,37021,Buncombe,North Carolina,NC
31,3046,Asheville,207,Conventional Steam Coal,1971,2020,37021,Buncombe,North Carolina,NC
32,15298,Colstrip,358,Conventional Steam Coal,1975,2020,30087,Rosebud,Montana,MT
33,15298,Colstrip,358,Conventional Steam Coal,1976,2020,30087,Rosebud,Montana,MT
34,12949,Morgantown Energy Facility,68.9,Conventional Steam Coal,1991,2020,54061,Monongalia,West Virginia,WV
35,4045,Columbia (MO),22,Conventional Steam Coal,1965,2019,29019,Boone,Missouri,MO
36,49756,Duck Creek,441,Conventional Steam Coal,1976,2019,17057,Fulton,Illinois,IL
37,49805,Kennecott Power Plant,82,Conventional Steam Coal,1958,2019,49035,Salt Lake,Utah,UT
38,520,Coffeen,388.9,Conventional Steam Coal,1965,2019,17135,Montgomery,Illinois,IL
39,520,Coffeen,616.5,Conventional Steam Coal,1972,2019,17135,Montgomery,Illinois,IL
40,5517,Havana,488,Conventional Steam Coal,1978,2019,17125,Mason,Illinois,IL
41,5517,Hennepin Power Station,75,Conventional Steam Coal,1953,2019,17155,Putnam,Illinois,IL
42,5517,Hennepin Power Station,231.3,Conventional Steam Coal,1959,2019,17155,Putnam,Illinois,IL
43,16572,Navajo,803.1,Conventional Steam Coal,1974,2019,4005,Coconino,Arizona,AZ
44,16572,Navajo,803.1,Conventional Steam Coal,1975,2019,4005,Coconino,Arizona,AZ
45,6526,FirstEnergy Bruce Mansfield,913.7,Conventional Steam Coal,1980,2019,42007,Beaver,Pennsylvania,PA
46,22125,Cayuga Operating Company,155.3,Conventional Steam Coal,1955,2019,36109,Tompkins,New York,NY
47,22125,Cayuga Operating Company,167.2,Conventional Steam Coal,1958,2019,36109,Tompkins,New York,NY
48,18715,Gibbons Creek,453.5,Conventional Steam Coal,1983,2019,48185,Grimes,Texas,TX
49,30151,Nucla,11.5,Conventional Steam Coal,1959,2019,8085,Montrose,Colorado,CO
50,30151,Nucla,11.5,Conventional Steam Coal,1959,2019,8085,Montrose,Colorado,CO
51,30151,Nucla,11.5,Conventional Steam Coal,1959,2019,8085,Montrose,Colorado,CO
52,30151,Nucla,79.3,Conventional Steam Coal,1991,2019,8085,Montrose,Colorado,CO
53,16572,Navajo,803.1,Conventional Steam Coal,1976,2019,4005,Coconino,Arizona,AZ
54,2884,Cambria Cogen,98,Conventional Steam Coal,1991,2019,42021,Cambria,Pennsylvania,PA
55,7140,Hammond,125,Conventional Steam Coal,1954,2019,13115,Floyd,Georgia,GA
56,7140,Hammond,125,Conventional Steam Coal,1954,2019,13115,Floyd,Georgia,GA
57,7140,Hammond,125,Conventional Steam Coal,1955,2019,13115,Floyd,Georgia,GA
58,7140,Hammond,578,Conventional Steam Coal,1970,2019,13115,Floyd,Georgia,GA
59,7140,McIntosh,177.6,Conventional Steam Coal,1979,2019,13103,Effingham,Georgia,GA
60,61138,James River Genco LLC,57.4,Conventional Steam Coal,1988,2019,51670,Hopewell City,Virginia,VA
61,61138,James River Genco LLC,57.4,Conventional Steam Coal,1988,2019,51670,Hopewell City,Virginia,VA
62,58620,Conesville,443.9,Conventional Steam Coal,1976,2019,39031,Coshocton,Ohio,OH
63,58620,Conesville,443.9,Conventional Steam Coal,1978,2019,39031,Coshocton,Ohio,OH
64,50097,Luke Mill,35,Conventional Steam Coal,1958,2019,24001,Allegany,Maryland,MD
65,50097,Luke Mill,30,Conventional Steam Coal,1979,2019,24001,Allegany,Maryland,MD
66,195,Gorgas,788.8,Conventional Steam Coal,1972,2019,1127,Walker,Alabama,AL
67,195,Gorgas,187.5,Conventional Steam Coal,1956,2019,1127,Walker,Alabama,AL
68,195,Gorgas,190.4,Conventional Steam Coal,1958,2019,1127,Walker,Alabama,AL
69,11701,Shiras,12.5,Conventional Steam Coal,1967,2019,26103,Marquette,Michigan,MI
70,11701,Shiras,21,Conventional Steam Coal,1972,2019,26103,Marquette,Michigan,MI
71,11701,Shiras,44,Conventional Steam Coal,1983,2019,26103,Marquette,Michigan,MI
72,55768,B L England,163.2,Conventional Steam Coal,1964,2019,34009,Cape May,New Jersey,NJ
73,55739,Edgecombe Genco LLC,57.4,Conventional Steam Coal,1990,2019,37065,Edgecombe,North Carolina,NC
74,55739,Edgecombe Genco LLC,57.4,Conventional Steam Coal,1990,2019,37065,Edgecombe,North Carolina,NC
75,5109,St Clair,168.7,Conventional Steam Coal,1953,2019,26147,St Clair,Michigan,MI
76,20847,Presque Isle,90,Conventional Steam Coal,1974,2019,26103,Marquette,Michigan,MI
77,20847,Presque Isle,90,Conventional Steam Coal,1975,2019,26103,Marquette,Michigan,MI
78,20847,Presque Isle,90,Conventional Steam Coal,1978,2019,26103,Marquette,Michigan,MI
79,20847,Presque Isle,90,Conventional Steam Coal,1978,2019,26103,Marquette,Michigan,MI
80,20847,Presque Isle,90,Conventional Steam Coal,1979,2019,26103,Marquette,Michigan,MI
81,19876,Chesterfield,112.5,Conventional Steam Coal,1952,2019,51041,Chesterfield,Virginia,VA
82,19876,Chesterfield,187.5,Conventional Steam Coal,1960,2019,51041,Chesterfield,Virginia,VA
83,19876,Yorktown,187.5,Conventional Steam Coal,1957,2019,51199,York,Virginia,VA
84,19876,Yorktown,187.5,Conventional Steam Coal,1959,2019,51199,York,Virginia,VA
85,19876,Mecklenburg Power Station,69.9,Conventional Steam Coal,1992,2019,51117,Mecklenburg,Virginia,VA
86,19876,Mecklenburg Power Station,69.9,Conventional Steam Coal,1992,2019,51117,Mecklenburg,Virginia,VA
87,10171,E W Brown,113.6,Conventional Steam Coal,1957,2019,21167,Mercer,Kentucky,KY
88,10171,E W Brown,179.5,Conventional Steam Coal,1963,2019,21167,Mercer,Kentucky,KY
89,1692,HMP&L Station Two Henderson,200,Conventional Steam Coal,1973,2019,21233,Henderson,Kentucky,KY
90,1692,HMP&L Station Two Henderson,205,Conventional Steam Coal,1974,2019,21233,Henderson,Kentucky,KY
91,15534,TalenEnergy Montour,17.2,Conventional Steam Coal,1973,2019,42093,Montour,Pennsylvania,PA
92,6526,FirstEnergy Bruce Mansfield,913.7,Conventional Steam Coal,1976,2019,42007,Beaver,Pennsylvania,PA
93,6526,FirstEnergy Bruce Mansfield,913.7,Conventional Steam Coal,1977,2019,42007,Beaver,Pennsylvania,PA
94,6455,Crystal River,440.5,Conventional Steam Coal,1966,2018,12017,Citrus,Florida,FL
95,6455,Crystal River,523.8,Conventional Steam Coal,1969,2018,12017,Citrus,Florida,FL
96,12647,Clay Boswell,75,Conventional Steam Coal,1958,2018,27061,Itasca,Minnesota,MN
97,12647,Clay Boswell,75,Conventional Steam Coal,1960,2018,27061,Itasca,Minnesota,MN
98,10000,Montrose,188,Conventional Steam Coal,1960,2018,29083,Henry,Missouri,MO
99,10000,Montrose,188,Conventional Steam Coal,1964,2018,29083,Henry,Missouri,MO
100,56211,Sibley,50,Conventional Steam Coal,1962,2018,29095,Jackson,Missouri,MO
101,56211,Sibley,419,Conventional Steam Coal,1969,2018,29095,Jackson,Missouri,MO
102,17568,R D Morrow,200,Conventional Steam Coal,1978,2018,28073,Lamar,Mississippi,MS
103,17568,R D Morrow,200,Conventional Steam Coal,1978,2018,28073,Lamar,Mississippi,MS
104,13833,Kline Township Cogen Facility,59,Conventional Steam Coal,1989,2018,42107,Schuylkill,Pennsylvania,PA
105,22500,Tecumseh Energy Center,82,Conventional Steam Coal,1957,2018,20177,Shawnee,Kansas,KS
106,20860,Pulliam,81.6,Conventional Steam Coal,1958,2018,55009,Brown,Wisconsin,WI
107,20860,Pulliam,149.6,Conventional Steam Coal,1964,2018,55009,Brown,Wisconsin,WI
108,20856,Edgewater,351,Conventional Steam Coal,1969,2018,55117,Sheboygan,Wisconsin,WI
109,13756,Bailly,190.4,Conventional Steam Coal,1962,2018,18127,Porter,Indiana,IN
110,13756,Bailly,413.1,Conventional Steam Coal,1968,2018,18127,Porter,Indiana,IN
111,60415,"CP Crane Power, LLC",190.4,Conventional Steam Coal,1961,2018,24005,Baltimore,Maryland,MD
112,60415,"CP Crane Power, LLC",209.4,Conventional Steam Coal,1963,2018,24005,Baltimore,Maryland,MD
113,4922,J M Stuart,610.2,Conventional Steam Coal,1970,2018,39001,Adams,Ohio,OH
114,4922,J M Stuart,610.2,Conventional Steam Coal,1972,2018,39001,Adams,Ohio,OH
115,4922,J M Stuart,610.2,Conventional Steam Coal,1974,2018,39001,Adams,Ohio,OH
116,4922,Killen Station,660.6,Conventional Steam Coal,1982,2018,39001,Adams,Ohio,OH
117,20847,Pleasant Prairie,616.6,Conventional Steam Coal,1980,2018,55059,Kenosha,Wisconsin,WI
118,20847,Pleasant Prairie,616.6,Conventional Steam Coal,1985,2018,55059,Kenosha,Wisconsin,WI
119,18642,Allen,330,Conventional Steam Coal,1959,2018,47157,Shelby,Tennessee,TN
120,18642,Allen,330,Conventional Steam Coal,1959,2018,47157,Shelby,Tennessee,TN
121,18642,Allen,330,Conventional Steam Coal,1959,2018,47157,Shelby,Tennessee,TN
122,55983,Big Brown,593.4,Conventional Steam Coal,1971,2018,48161,Freestone,Texas,TX
123,55983,Big Brown,593.4,Conventional Steam Coal,1972,2018,48161,Freestone,Texas,TX
124,9617,St Johns River Power Park,679,Conventional Steam Coal,1987,2018,12031,Duval,Florida,FL
125,9617,St Johns River Power Park,679,Conventional Steam Coal,1988,2018,12031,Duval,Florida,FL
126,55983,Monticello,593.4,Conventional Steam Coal,1974,2018,48449,Titus,Texas,TX
127,55983,Monticello,593.4,Conventional Steam Coal,1975,2018,48449,Titus,Texas,TX
128,55983,Monticello,793.2,Conventional Steam Coal,1995,2018,48449,Titus,Texas,TX
129,55983,Sandow No 4,590.6,Conventional Steam Coal,1981,2018,48331,Milam,Texas,TX
130,59621,Elizabethtown Power LLC,34.7,Conventional Steam Coal,1985,2018,37017,Bladen,North Carolina,NC
131,55983,Sandow No 5,661.5,Conventional Steam Coal,2010,2018,48331,Milam,Texas,TX
132,17833,James River Power Station,22,Conventional Steam Coal,1957,2017,29077,Greene,Missouri,MO
133,17833,James River Power Station,22,Conventional Steam Coal,1957,2017,29077,Greene,Missouri,MO
134,17833,James River Power Station,44,Conventional Steam Coal,1960,2017,29077,Greene,Missouri,MO
135,15473,San Juan,369,Conventional Steam Coal,1973,2017,35045,San Juan,New Mexico,NM
136,15473,San Juan,555,Conventional Steam Coal,1979,2017,35045,San Juan,New Mexico,NM
137,18642,Johnsonville,125,Conventional Steam Coal,1951,2017,47085,Humphreys,Tennessee,TN
138,18642,Johnsonville,125,Conventional Steam Coal,1951,2017,47085,Humphreys,Tennessee,TN
139,18642,Johnsonville,125,Conventional Steam Coal,1952,2017,47085,Humphreys,Tennessee,TN
140,18642,Johnsonville,125,Conventional Steam Coal,1952,2017,47085,Humphreys,Tennessee,TN
141,733,Kanawha River,219.6,Conventional Steam Coal,1953,2017,54039,Kanawha,West Virginia,WV
142,733,Kanawha River,219.6,Conventional Steam Coal,1953,2017,54039,Kanawha,West Virginia,WV
143,5109,St Clair,168.7,Conventional Steam Coal,1954,2017,26147,St Clair,Michigan,MI
144,4922,J M Stuart,610.2,Conventional Steam Coal,1971,2017,39001,Adams,Ohio,OH
145,15466,Valmont,191.7,Conventional Steam Coal,1964,2017,8013,Boulder,Colorado,CO
146,58534,Brayton Point,241,Conventional Steam Coal,1963,2017,25005,Bristol,Massachusetts,MA
147,58534,Brayton Point,241,Conventional Steam Coal,1964,2017,25005,Bristol,Massachusetts,MA
148,58534,Brayton Point,642.6,Conventional Steam Coal,1969,2017,25005,Bristol,Massachusetts,MA
149,8723,James De Young,22,Conventional Steam Coal,1962,2017,26139,Ottawa,Michigan,MI
150,8723,James De Young,29.3,Conventional Steam Coal,1969,2017,26139,Ottawa,Michigan,MI
151,56211,Sibley,55,Conventional Steam Coal,1960,2017,29095,Jackson,Missouri,MO
152,15147,PSEG Mercer Generating Station,326.4,Conventional Steam Coal,1960,2017,34021,Mercer,New Jersey,NJ
153,15147,PSEG Mercer Generating Station,326.4,Conventional Steam Coal,1961,2017,34021,Mercer,New Jersey,NJ
154,18642,Paradise,704,Conventional Steam Coal,1963,2017,21177,Muhlenberg,Kentucky,KY
155,18642,Paradise,704,Conventional Steam Coal,1963,2017,21177,Muhlenberg,Kentucky,KY
156,13407,Reid Gardner,294.8,Conventional Steam Coal,1983,2017,32003,Clark,Nevada,NV
157,7570,Stanton,190.2,Conventional Steam Coal,1967,2017,38057,Mercer,North Dakota,ND
158,55808,Roanoke Valley Energy Facility I,182.3,Conventional Steam Coal,1994,2017,37083,Halifax,North Carolina,NC
159,55808,Roanoke Valley Energy Facility II,57.8,Conventional Steam Coal,1995,2017,37083,Halifax,North Carolina,NC
160,19204,Trinidad (CO),3.7,Conventional Steam Coal,1950,2017,8071,Las Animas,Colorado,CO
161,57440,SABIC Innovative Plastics Mt. Vernon,5.5,Conventional Steam Coal,1996,2017,18129,Posey,Indiana,IN
162,3989,Martin Drake,50,Conventional Steam Coal,1962,2016,8041,El Paso,Colorado,CO
163,15470,Wabash River,387,Conventional Steam Coal,1968,2016,18167,Vigo,Indiana,IN
164,11732,Marshall (MO),16.5,Conventional Steam Coal,1967,2016,29195,Saline,Missouri,MO
165,56730,Cedar Bay Generating Company LP,291.6,Conventional Steam Coal,1994,2016,12031,Duval,Florida,FL
166,49805,Kennecott Power Plant,50,Conventional Steam Coal,1943,2016,49035,Salt Lake,Utah,UT
167,49805,Kennecott Power Plant,25,Conventional Steam Coal,1943,2016,49035,Salt Lake,Utah,UT
168,49805,Kennecott Power Plant,25,Conventional Steam Coal,1946,2016,49035,Salt Lake,Utah,UT
169,520,Newton,617.4,Conventional Steam Coal,1982,2016,17079,Jasper,Illinois,IL
170,7140,Mitchell (GA),163.2,Conventional Steam Coal,1964,2016,13095,Dougherty,Georgia,GA
171,11732,Marshall (MO),6,Conventional Steam Coal,1956,2016,29195,Saline,Missouri,MO
172,49923,American Eagle Paper Mills,2.5,Conventional Steam Coal,1929,2016,42013,Blair,Pennsylvania,PA
173,49923,American Eagle Paper Mills,4.5,Conventional Steam Coal,1930,2016,42013,Blair,Pennsylvania,PA
174,49923,American Eagle Paper Mills,3,Conventional Steam Coal,1936,2016,42013,Blair,Pennsylvania,PA
175,49923,American Eagle Paper Mills,7.5,Conventional Steam Coal,1958,2016,42013,Blair,Pennsylvania,PA
176,5109,River Rouge,292.5,Conventional Steam Coal,1957,2016,26163,Wayne,Michigan,MI
177,8723,James De Young,11.5,Conventional Steam Coal,1951,2016,26139,Ottawa,Michigan,MI
178,5517,Wood River,112.5,Conventional Steam Coal,1954,2016,17119,Madison,Illinois,IL
179,5517,Wood River,387.6,Conventional Steam Coal,1964,2016,17119,Madison,Illinois,IL
180,14165,Avon Lake,86,Conventional Steam Coal,1949,2016,39093,Lorain,Ohio,OH
181,12807,Endicott Station,55,Conventional Steam Coal,1982,2016,26059,Hillsdale,Michigan,MI
182,9667,Jasper 2,14.5,Conventional Steam Coal,1968,2016,18037,Dubois,Indiana,IN
183,56217,Portsmouth Genco LLC,57.4,Conventional Steam Coal,1988,2016,51740,Portsmouth City,Virginia,VA
184,56217,Portsmouth Genco LLC,57.4,Conventional Steam Coal,1988,2016,51740,Portsmouth City,Virginia,VA
185,18642,Colbert,200,Conventional Steam Coal,1955,2016,1033,Colbert,Alabama,AL
186,18642,Colbert,200,Conventional Steam Coal,1955,2016,1033,Colbert,Alabama,AL
187,18642,Colbert,200,Conventional Steam Coal,1955,2016,1033,Colbert,Alabama,AL
188,18642,Colbert,200,Conventional Steam Coal,1955,2016,1033,Colbert,Alabama,AL
189,18642,Colbert,550,Conventional Steam Coal,1965,2016,1033,Colbert,Alabama,AL
190,9273,Eagle Valley (IN),50,Conventional Steam Coal,1951,2016,18109,Morgan,Indiana,IN
191,9273,Eagle Valley (IN),69,Conventional Steam Coal,1953,2016,18109,Morgan,Indiana,IN
192,9273,Eagle Valley (IN),69,Conventional Steam Coal,1953,2016,18109,Morgan,Indiana,IN
193,9273,Eagle Valley (IN),113.6,Conventional Steam Coal,1956,2016,18109,Morgan,Indiana,IN
194,15470,Wabash River,112.5,Conventional Steam Coal,1953,2016,18167,Vigo,Indiana,IN
195,15470,Wabash River,123.2,Conventional Steam Coal,1954,2016,18167,Vigo,Indiana,IN
196,15470,Wabash River,112.5,Conventional Steam Coal,1955,2016,18167,Vigo,Indiana,IN
197,15470,Wabash River,125,Conventional Steam Coal,1956,2016,18167,Vigo,Indiana,IN
198,12341,George Neal North,147,Conventional Steam Coal,1964,2016,19193,Woodbury,Iowa,IA
199,12341,George Neal North,349.2,Conventional Steam Coal,1972,2016,19193,Woodbury,Iowa,IA
200,5580,Dale,81,Conventional Steam Coal,1957,2016,21049,Clark,Kentucky,KY
201,5580,Dale,81,Conventional Steam Coal,1960,2016,21049,Clark,Kentucky,KY
202,4254,B C Cobb,156.3,Conventional Steam Coal,1956,2016,26121,Muskegon,Michigan,MI
203,4254,B C Cobb,156.3,Conventional Steam Coal,1957,2016,26121,Muskegon,Michigan,MI
204,4254,J C Weadock,156.3,Conventional Steam Coal,1955,2016,26017,Bay,Michigan,MI
205,4254,J C Weadock,156.3,Conventional Steam Coal,1958,2016,26017,Bay,Michigan,MI
206,4254,J R Whiting,106.3,Conventional Steam Coal,1952,2016,26115,Monroe,Michigan,MI
207,4254,J R Whiting,106.3,Conventional Steam Coal,1952,2016,26115,Monroe,Michigan,MI
208,4254,J R Whiting,132.8,Conventional Steam Coal,1953,2016,26115,Monroe,Michigan,MI
209,5109,Trenton Channel,120,Conventional Steam Coal,1949,2016,26163,Wayne,Michigan,MI
210,10000,Montrose,188,Conventional Steam Coal,1958,2016,29083,Henry,Missouri,MO
211,4045,Columbia (MO),16.5,Conventional Steam Coal,1957,2016,29019,Boone,Missouri,MO
212,15474,Northeastern,473,Conventional Steam Coal,1980,2016,40131,Rogers,Oklahoma,OK
213,17698,Welsh,558,Conventional Steam Coal,1980,2016,48449,Titus,Texas,TX
214,20847,Milwaukee County,11,Conventional Steam Coal,1955,2016,55079,Milwaukee,Wisconsin,WI
215,7801,Lansing Smith,149.6,Conventional Steam Coal,1965,2016,12005,Bay,Florida,FL
216,7801,Lansing Smith,190.4,Conventional Steam Coal,1967,2016,12005,Bay,Florida,FL
217,13168,C R Huntley Generating Station,200,Conventional Steam Coal,1957,2016,36029,Erie,New York,NY
218,13168,C R Huntley Generating Station,200,Conventional Steam Coal,1958,2016,36029,Erie,New York,NY
219,11142,Logansport,18,Conventional Steam Coal,1958,2016,18017,Cass,Indiana,IN
220,11142,Logansport,25,Conventional Steam Coal,1964,2016,18017,Cass,Indiana,IN
221,58246,Escanaba,11.5,Conventional Steam Coal,1958,2016,26041,Delta,Michigan,MI
222,58246,Escanaba,11.5,Conventional Steam Coal,1958,2016,26041,Delta,Michigan,MI
223,9231,Missouri City,23,Conventional Steam Coal,1954,2016,29047,Clay,Missouri,MO
224,9231,Missouri City,23,Conventional Steam Coal,1954,2016,29047,Clay,Missouri,MO
225,49756,E D Edwards,136,Conventional Steam Coal,1960,2015,17143,Peoria,Illinois,IL
226,14839,Peru (IN),22,Conventional Steam Coal,1959,2015,18103,Miami,Indiana,IN
227,14839,Peru (IN),12.5,Conventional Steam Coal,1949,2015,18103,Miami,Indiana,IN
228,56155,Eckert Station,47,Conventional Steam Coal,1960,2015,26065,Ingham,Michigan,MI
229,16181,Silver Lake,8,Conventional Steam Coal,1948,2015,27109,Olmsted,Minnesota,MN
230,16181,Silver Lake,12,Conventional Steam Coal,1953,2015,27109,Olmsted,Minnesota,MN
231,16181,Silver Lake,25,Conventional Steam Coal,1962,2015,27109,Olmsted,Minnesota,MN
232,16181,Silver Lake,54,Conventional Steam Coal,1969,2015,27109,Olmsted,Minnesota,MN
233,3242,Chamois,15,Conventional Steam Coal,1953,2015,29151,Osage,Missouri,MO
234,3242,Chamois,44,Conventional Steam Coal,1960,2015,29151,Osage,Missouri,MO
235,18642,Johnsonville,172.8,Conventional Steam Coal,1959,2015,47085,Humphreys,Tennessee,TN
236,18642,Johnsonville,147,Conventional Steam Coal,1952,2015,47085,Humphreys,Tennessee,TN
237,18642,Johnsonville,147,Conventional Steam Coal,1953,2015,47085,Humphreys,Tennessee,TN
238,18642,Johnsonville,172.8,Conventional Steam Coal,1958,2015,47085,Humphreys,Tennessee,TN
239,18642,Johnsonville,172.8,Conventional Steam Coal,1959,2015,47085,Humphreys,Tennessee,TN
240,18642,Johnsonville,172.8,Conventional Steam Coal,1959,2015,47085,Humphreys,Tennessee,TN
241,733,Clinch River,237.5,Conventional Steam Coal,1961,2015,51167,Russell,Virginia,VA
242,20856,Edgewater,69,Conventional Steam Coal,1951,2015,55117,Sheboygan,Wisconsin,WI
243,20856,Nelson Dewey Generating Station,113.6,Conventional Steam Coal,1959,2015,55043,Grant,Wisconsin,WI
244,20856,Nelson Dewey Generating Station,113.6,Conventional Steam Coal,1962,2015,55043,Grant,Wisconsin,WI
